trial_id,label,similarity
T0001,1,0.4996960759162903
T0002,1,0.5211087465286255
T0003,0,0.24701327085494995
T0004,0,0.03166308254003525
T0005,0,0.15641918778419495
T0006,0,0.15909984707832336
T0007,0,0.31811773777008057
T0008,0,0.2591336667537689
T0009,0,-0.046848196536302567
T0010,0,-0.11224508285522461
T0011,0,0.004192087799310684
T0012,0,0.026480454951524734
T0013,0,-0.002294003963470459
T0014,0,0.026044271886348724
T0015,0,0.18541449308395386
T0016,0,0.042283639311790466
T0017,0,0.1124948039650917
T0018,0,0.2922951579093933
T0019,0,0.25210466980934143
T0020,0,0.14955943822860718
T0021,0,0.1293434500694275
T0022,0,-0.005903705954551697
T0023,0,0.21633699536323547
T0024,0,0.23259511590003967
T0025,0,0.14155571162700653
T0026,0,0.16732150316238403
T0027,1,0.48054468631744385
T0028,0,0.2307732105255127
T0029,0,0.04859559237957001
T0030,0,0.09981391578912735
T0031,0,0.20708201825618744
T0032,0,0.2037353813648224
T0033,0,0.2576009929180145
T0034,0,-0.022357583045959473
T0035,0,0.058165062218904495
T0036,0,0.023269731551408768
T0037,0,0.055065054446458817
T0038,0,0.04407671466469765
T0039,0,-0.0022855978459119797
T0040,0,0.1498410701751709
T0041,0,-0.03390678018331528
T0042,0,0.16593481600284576
T0043,0,0.26580730080604553
T0044,0,0.05104292929172516
T0045,0,0.2083197385072708
T0046,0,0.11353796720504761
T0047,0,0.08216958492994308
T0048,0,0.18681102991104126
T0049,0,0.11852558702230453
T0050,0,0.014866568148136139
T0051,0,0.056910399347543716
T0052,0,0.14757391810417175
T0053,0,-0.05813878774642944
T0054,0,-0.07942128926515579
T0055,0,0.09652674198150635
T0056,0,0.1905253678560257
T0057,0,0.0981982871890068
T0058,0,-0.09051968902349472
T0059,0,-0.10973173379898071
T0060,0,0.007453480735421181
T0061,0,-0.014468573033809662
T0062,0,0.06680139899253845
T0063,0,0.09342718124389648
T0064,0,0.284434050321579
T0065,0,-0.005531776696443558
T0066,0,0.15469461679458618
T0067,0,0.3800886869430542
T0068,0,0.07891780883073807
T0069,0,0.23584093153476715
T0070,0,0.026182858273386955
T0071,0,0.1454739272594452
T0072,0,0.11207529902458191
T0073,0,0.07641154527664185
T0074,0,0.043757662177085876
T0075,0,0.17556917667388916
T0076,1,0.45057371258735657
T0077,1,0.26187223196029663
T0078,0,0.03384361416101456
T0079,0,0.04154612496495247
T0080,0,0.07902286946773529
T0081,0,-0.013553607277572155
T0082,0,0.05413384735584259
T0083,0,0.13073153793811798
T0084,0,0.09790728986263275
T0085,0,-0.0615779384970665
T0086,0,-0.04763292893767357
T0087,0,0.05262427404522896
T0088,0,0.20480014383792877
T0089,0,0.12289704382419586
T0090,0,0.14748814702033997
T0091,0,-0.009683283045887947
T0092,0,0.0333818644285202
T0093,0,-0.07743522524833679
T0094,0,-0.0748777985572815
T0095,0,0.029353067278862
T0096,0,0.07587094604969025
T0097,0,-0.018364615738391876
T0098,0,0.023327525705099106
T0099,1,0.47024306654930115
T0100,0,0.08830368518829346
T0101,0,0.035267703235149384
T0102,0,0.011295603588223457
T0103,0,0.20210249722003937
T0104,0,0.22752121090888977
T0105,0,0.1977592408657074
T0106,0,-0.014267373830080032
T0107,0,0.04629559814929962
T0108,0,-0.03436387702822685
T0109,0,0.005867487750947475
T0110,0,0.005148833617568016
T0111,0,0.1348869800567627
T0112,0,0.06979388743638992
T0113,0,-0.08717060089111328
T0114,0,-0.007934115827083588
T0115,0,-0.02041550911962986
T0116,0,-0.05081919953227043
T0117,0,0.002006765455007553
T0118,0,-0.2265060842037201
T0119,0,-0.17936177551746368
T0120,0,-0.17807842791080475
T0121,0,0.3384174406528473
T0122,0,0.14058856666088104
T0123,0,0.21575459837913513
T0124,0,0.016099385917186737
T0125,0,0.08434180915355682
T0126,0,-0.0009247772395610809
T0127,0,-0.020706161856651306
T0128,0,0.09300464391708374
T0129,0,0.06106247007846832
T0130,0,0.0770004540681839
T0131,0,0.09757669270038605
T0132,0,0.2015354186296463
T0133,0,0.1671377420425415
T0134,0,0.042861320078372955
T0135,0,-0.025981225073337555
T0136,0,-0.03824713081121445
T0137,0,-0.16383299231529236
T0138,0,-0.0010256767272949219
T0139,0,0.07694302499294281
T0140,0,-0.017725273966789246
T0141,0,-0.05581073835492134
T0142,1,0.2598463296890259
T0143,1,0.27293485403060913
T0144,0,0.15988099575042725
T0145,0,-0.03310628980398178
T0146,0,-0.02209199219942093
T0147,0,-0.004879400134086609
T0148,0,0.10046729445457458
T0149,0,0.052739404141902924
T0150,0,0.13587357103824615
T0151,0,-0.010331295430660248
T0152,0,-0.012418018653988838
T0153,0,0.11142132431268692
T0154,0,-0.049847811460494995
T0155,0,0.11729223281145096
T0156,0,0.13881081342697144
T0157,0,0.02650030143558979
T0158,0,-0.006064986810088158
T0159,0,0.11906146258115768
T0160,0,0.11115366220474243
T0161,0,0.022533394396305084
T0162,1,0.7821249961853027
T0163,0,0.06961339712142944
T0164,0,0.10213829576969147
T0165,0,0.15789377689361572
T0166,0,0.2068636119365692
T0167,0,0.22965574264526367
T0168,0,0.24588096141815186
T0169,0,0.008319631218910217
T0170,0,0.225823312997818
T0171,0,-0.11654968559741974
T0172,0,0.2585586905479431
T0173,0,0.18299174308776855
T0174,0,0.19184479117393494
T0175,0,0.11504031717777252
T0176,0,0.03709942102432251
T0177,0,0.3101139962673187
T0178,0,0.3286069333553314
T0179,0,0.41632896661758423
T0180,0,0.4832268953323364
T0181,0,0.14571067690849304
T0182,0,0.16282208263874054
T0183,0,0.15573152899742126
T0184,0,0.09885872900485992
T0185,0,0.1493278443813324
T0186,0,0.18304020166397095
T0187,0,0.006670154631137848
